,Sample,Rock_type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
0,SAR-00-08,andesite,60.4,1.133,16.5,5.85,0.07400000000000001,2.25,5.2,5.06,2.89,0.557
1,SAR-00-07,andesite,60.5,0.828,16.5,4.97,0.075,1.97,4.35,4.76,2.99,0.34299999999999997
2,SAR-00-13,andesite,60.6,1.015,16.4,5.59,0.08199999999999999,2.24,4.82,5.0,3.0,0.473
3,COTA-05-15,andesite,58.9,1.222,16.9,6.56,0.08199999999999999,2.88,5.64,4.76,2.41,0.48200000000000004
4,COTA-05-06,andesite,59.5,1.169,16.7,6.09,0.077,2.54,5.24,4.58,2.7,0.49
5,121_019,andesite,58.36600000000001,1.011,16.765,6.192,0.087,2.736,5.537000000000001,5.12,3.022,0.604
6,121_133,andesite,58.317,1.085,16.49,6.404,0.09,2.696,5.27,4.24,3.346,0.511
7, VOL35,andesite,56.2,1.42,16.49,7.12,0.8,3.7,5.28,4.17,3.13,0.78
8, VOL37,andesite,59.21,1.12,17.3,6.47,0.7,2.31,5.6,4.86,2.94,0.56
9,AND-99-06    ,andesite,55.7,1.34,16.7,7.35,0.098,3.24,6.27,4.76,2.49,0.6559999999999999
10,121_061,andesite,60.543,1.122,16.762,5.607,0.07400000000000001,2.3369999999999997,4.966,4.84,2.866,0.498
11, VOL29-1,andesite,59.8,1.5,16.93,5.91,0.6,2.35,5.1,4.78,2.93,0.43
12, VOL22A,andesite,58.23,1.7,17.19,6.51,0.7,2.13,4.9,4.74,3.17,0.54
13,AND-99-05    ,andesite,61.2,0.975,16.5,5.44,0.075,2.21,4.74,4.81,2.99,0.42700000000000005
14,AND-99-01    ,andesite,62.4,0.9359999999999999,16.1,5.16,0.068,1.97,4.35,4.41,3.35,0.365
15,AND-99-04    ,andesite,60.4,1.09,16.7,5.93,0.076,2.36,5.09,4.71,2.88,0.442
16,AND-99-07    ,andesite,59.3,1.167,16.8,6.29,0.083,2.55,5.34,4.9,2.7,0.493
17,AND-99-10    ,andesite,61.4,0.9790000000000001,16.2,5.46,0.078,2.1,4.62,4.59,3.21,0.391
18,121_016,andesite,58.119,1.173,16.698,6.2860000000000005,0.079,2.6319999999999997,5.672999999999999,4.91,2.633,0.624
19,121_102,andesite,56.443999999999996,1.3319999999999999,16.883,6.926,0.08800000000000001,3.359,6.535,4.74,2.178,0.583
20,121_045,andesite,58.504,1.125,16.785,6.144,0.079,2.502,5.393,5.01,2.699,0.596
21,BAR-01-41,andesite,60.2,0.66,17.9,5.55,0.085,2.06,5.35,4.34,2.34,0.27399999999999997
22,BAR-00-44,andesite,61.3,0.7140000000000001,16.9,5.41,0.08900000000000001,2.33,5.03,4.23,2.43,0.242
23,PIG-00-13,andesite,56.4,0.995,17.7,7.01,0.095,3.31,6.44,4.17,2.22,0.318
24,CHA-03-01,andesite,58.9,0.987,17.6,6.71,0.09699999999999999,2.38,5.5,4.35,2.63,0.341
25,OCO-05-12,andesite,62.9,0.5710000000000001,14.8,2.57,0.066,1.12,1.82,5.07,4.05,0.106
26,CARA-05-08,andesite,46.9,0.079,8.3,0.57,0.038,0.57,6.3,8.99,3.07,0.017
27,NIC-01-22,basaltic andesite,52.3,1.466,16.4,9.61,0.136,5.45,8.43,3.71,1.83,0.34600000000000003
28,SHO-01-66-2,basaltic andesite,50.1,1.504,14.5,8.02,0.122,7.87,6.99,2.79,4.81,1.2819999999999998
29,CUEV1,basaltic andesite,52.95,1.42,17.15,9.24,0.11,5.18,8.73,3.57,1.5,0.27
30, VOL32,basaltic andesite,55.68,1.25,16.96,7.24,0.8,3.5,6.66,5.14,2.61,0.62
31, VOL16 A,basaltic andesite,54.76,1.37,16.47,7.39,0.8,3.39,6.64,4.96,1.92,0.51
32,BAR-02-01,basaltic andesite,55.8,1.159,17.3,7.9,0.11199999999999999,3.71,6.91,4.04,1.84,0.331
33, VOL71,basaltic andesite,54.81,1.32,17.51,7.9,0.8,3.83,7.72,4.6,1.92,0.45
